symbol,name,reportDate,fiscalDateEnding,estimate,currency
AJG,Arthur J. Gallagher & Company,2025-07-23,2025-06-30,2.39,USD
AJINF,AJINF,2025-08-04,2025-06-30,27,USD
AJINY,AJINY,2025-08-04,2025-06-30,0.2059,USD
AJLGF,AJLGF,2025-08-28,2025-06-30,,USD
AJMPF,AJMPF,2025-09-05,2025-06-30,,USD
AJX,AJX,2025-07-22,2025-06-30,,USD
AKAAF,AKAAF,2025-07-16,2025-06-30,,USD
AKAM,Akamai Technologies Inc,2025-08-12,2025-06-30,1.55,USD
AKBA,Akebia Therapeutics Inc,2025-07-31,2025-06-30,-0.02,USD
AKBIF,AKBIF,2025-08-06,2025-06-30,,USD
AKBLF,AKBLF,2025-08-21,2025-06-30,,USD
AKBTY,AKBTY,2025-07-29,2025-06-30,0.2097,USD
AKCCF,AKCCF,2025-07-14,2025-06-30,-0.01,USD
AKEMF,AKEMF,2025-07-14,2025-06-30,,USD
AKESF,AKESF,2025-09-15,2025-06-30,,USD
AKHOF,AKHOF,2025-07-15,2025-06-30,,USD
AKO-A,Embotelladora Andina S.A.,2025-07-28,2025-06-30,0.3102,CLP
AKO-B,Embotelladora Andina S.A.,2025-07-28,2025-06-30,0.3102,CLP
AKR,Acadia Realty Trust,2025-07-28,2025-06-30,0.091,USD
AKRBF,AKRBF,2025-07-15,2025-06-30,5.55,USD
AKRBY,AKRBY,2025-07-15,2025-06-30,,USD
AKRFF,AKRFF,2025-07-17,2025-06-30,,CAD
AKRO,Akero Therapeutics Inc,2025-08-08,2025-06-30,-0.8964,USD
AKTAF,AKTAF,2025-07-30,2025-06-30,0.08,USD
AKYA,Akoya Biosciences Inc,2025-08-11,2025-06-30,-0.1871,USD
AKZOF,AKZOF,2025-07-22,2025-06-30,1.16,EUR
AKZOY,AKZOY,2025-07-22,2025-06-30,0.4516,EUR
AL,Air Lease Corp - Class A,2025-08-04,2025-06-30,1.69,USD
ALAB,Astera Labs Inc,2025-08-05,2025-06-30,0.32,USD
ALB,Albemarle Corp,2025-07-30,2025-06-30,-0.6955,USD
ALBAF,ALBAF,2025-08-28,2025-05-31,,USD
ALBKF,ALBKF,2025-08-01,2025-06-30,0.09,USD
ALBKY,ALBKY,2025-08-01,2025-06-30,0.0266,USD
ALC,Alcon Inc,2025-08-20,2025-06-30,0.7169,USD
ALCO,Alico Inc,2025-08-04,2025-06-30,-0.35,USD
ALDVF,ALDVF,2025-07-14,2025-06-30,,USD
ALDX,Aldeyra Therapeutics Inc,2025-08-08,2025-06-30,-0.2433,USD
ALE,Allete Inc,2025-07-30,2025-06-30,0.84,USD
ALEC,Alector Inc,2025-07-31,2025-06-30,-0.47,USD
ALEEF,ALEEF,2025-07-28,2025-05-31,,CAD
ALEGF,ALEGF,2025-09-18,2025-06-30,0.98,USD
ALEX,Alexander & Baldwin Inc,2025-07-23,2025-06-30,0.17,USD
ALFFF,ALFFF,2025-07-23,2025-06-30,0.43,USD
ALFNF,ALFNF,2025-08-20,2025-06-30,,USD
ALFVF,ALFVF,2025-07-22,2025-06-30,4.86,SEK
ALFVY,ALFVY,2025-07-22,2025-06-30,0.5468,USD
ALG,Alamo Group Inc,2025-07-29,2025-06-30,2.59,USD
ALGEF,ALGEF,2025-07-29,2025-06-30,,USD
ALGGF,ALGGF,2025-08-20,2025-06-30,,USD
ALGM,Allegro Microsystems Inc,2025-07-31,2025-06-30,0.08,USD
ALGN,Align Technology Inc,2025-07-22,2025-06-30,2.57,USD
ALGT,Allegiant Travel,2025-07-30,2025-06-30,0.85,USD
ALHC,Alignment Healthcare Inc,2025-07-30,2025-06-30,-0.0616,USD
ALIT,Alight Inc - Class A,2025-08-06,2025-06-30,0.1069,USD
ALITF,ALITF,2025-08-01,2025-06-30,,USD
ALIZF,ALIZF,2025-08-07,2025-06-30,6.51,USD
ALIZY,ALIZY,2025-08-08,2025-06-30,0.7296,EUR
ALK,Alaska Air Group Inc,2025-07-23,2025-06-30,1.54,USD
ALKEF,ALKEF,2025-08-24,2025-06-30,,USD
